List Size,Time Taken (s),Peak Memory Usage (bytes)
10,2.8399983420968056e-05,40598
10,2.2899999748915434e-05,40598
10,2.0899984519928694e-05,40598
10,2.0599982235580683e-05,40598
10,2.1199986804276705e-05,40598
10,2.0200037397444248e-05,40598
10,2.0000035874545574e-05,40598
10,1.999997766688466e-05,40598
10,2.0299979951232672e-05,40598
10,2.0300038158893585e-05,40598
10,2.0300038158893585e-05,40598
10,2.050003968179226e-05,40598
10,1.98000343516469e-05,40598
10,3.0999945010989904e-05,40598
10,2.2199994418770075e-05,40598
10,2.099998528137803e-05,40598
10,2.0499981474131346e-05,40598
10,2.0499981474131346e-05,40598
10,2.0099978428333998e-05,40598
10,1.999997766688466e-05,40598
10,2.0000035874545574e-05,40598
10,2.0299979951232672e-05,40598
10,2.069998299703002e-05,40598
10,2.0600040443241596e-05,40598
10,2.2000051103532314e-05,40598
50,8.490000618621707e-05,40598
50,8.029997115954757e-05,40598
50,8.780002826824784e-05,40598
50,8.869997691363096e-05,40598
50,8.979998528957367e-05,40598
50,8.870003512129188e-05,40598
50,8.839997462928295e-05,40598
50,8.859997615218163e-05,40598
50,8.970004273578525e-05,40598
50,9.029998909682035e-05,40598
50,8.700002217665315e-05,40598
50,8.790002902969718e-05,40598
50,8.739996701478958e-05,40598
50,8.769996929913759e-05,40598
50,9.109999518841505e-05,40598
50,8.920003892853856e-05,40598
50,9.169999975711107e-05,40598
50,8.940004045143723e-05,40598
50,9.169999975711107e-05,40598
50,8.720002369955182e-05,40598
50,9.06999921426177e-05,40598
50,8.85000335983932e-05,40598
50,8.779997006058693e-05,40598
50,8.790002902969718e-05,40598
50,8.999998681247234e-05,40598
100,0.0002447000006213784,40598
100,0.00018430000636726618,40598
100,0.00018669996643438935,40598
100,0.00018269999418407679,40598
100,0.0001824000501073897,40598
100,0.0001852000132203102,40598
100,0.0001829999964684248,40598
100,0.0001848999527283013,40598
100,0.00017929996829479933,40598
100,0.00018319999799132347,40598
100,0.00018279999494552612,40598
100,0.00018229999113827944,40598
100,0.00018229999113827944,40598
100,0.00018259999342262745,40598
100,0.00017690000822767615,40598
100,0.00017600000137463212,40598
100,0.00017910002497956157,40598
100,0.00017559999832883477,40598
100,0.0001829999964684248,40598
100,0.00018009997438639402,40598
100,0.000179499969817698,40598
