List Size,Time Taken (s),Peak Memory Usage (bytes)
10,2.74000340141356e-05,40598
10,2.1899992134422064e-05,40598
10,2.139998832717538e-05,40598
10,2.0700041204690933e-05,40598
10,2.1300045773386955e-05,40598
10,2.039998071268201e-05,40598
10,2.0400038920342922e-05,40598
10,2.010003663599491e-05,40598
10,1.9900035113096237e-05,40598
10,2.010003663599491e-05,40598
10,2.0700041204690933e-05,40598
10,2.099998528137803e-05,40598
10,1.9700033590197563e-05,40598
10,2.039998071268201e-05,40598
10,2.0499981474131346e-05,40598
10,2.0199979189783335e-05,40598
10,2.039998071268201e-05,40598
10,1.9899976905435324e-05,40598
10,1.939997309818864e-05,40598
10,1.98000343516469e-05,40598
10,1.98000343516469e-05,40598
10,1.9599974621087313e-05,40598
10,1.9799976143985987e-05,40598
10,1.9899976905435324e-05,40598
10,2.0499981474131346e-05,40598
50,8.219998562708497e-05,40598
50,7.98000255599618e-05,40598
50,8.77000275067985e-05,40598
50,8.859997615218163e-05,40598
50,0.0001531999441795051,40598
50,9.089999366551638e-05,40598
50,8.85000335983932e-05,40598
50,8.919998072087765e-05,40598
50,8.920003892853856e-05,40598
50,8.93000396899879e-05,40598
50,9.049999061971903e-05,40598
50,8.9599983766675e-05,40598
50,8.9599983766675e-05,40598
50,9.039998985826969e-05,40598
50,8.710002293810248e-05,40598
50,8.650001836940646e-05,40598
50,9.039998985826969e-05,40598
50,9.06999921426177e-05,40598
50,0.0001732000382617116,40598
50,9.180000051856041e-05,40598
50,9.109999518841505e-05,40598
50,9.359995601698756e-05,40598
50,8.789997082203627e-05,40598
50,8.919998072087765e-05,40598
50,9.210000280290842e-05,40598
100,0.0001946999691426754,40598
100,0.00017660000594332814,40598
100,0.0001783999614417553,40598
100,0.00018239999189972878,40598
100,0.00017339998157694936,40598
100,0.00018010003259405494,40598
100,0.0001829999964684248,40598
100,0.0001908999984152615,40598
100,0.00017989997286349535,40598
100,0.00017820001812651753,40598
100,0.0001805999781936407,40598
100,0.00018510001245886087,40598
100,0.00017579999985173345,40598
100,0.0001748999929986894,40598
100,0.00018259999342262745,40598
100,0.00017969997134059668,40598
100,0.00018070003716275096,40598
