List Size,Time Taken (s),Peak Memory Usage (bytes)
10,6.160000339150429e-05,40598
10,3.589998232200742e-05,40598
10,3.789999755099416e-05,40598
10,3.50000336766243e-05,40598
10,3.100000321865082e-05,40598
10,3.579998156055808e-05,40598
10,3.350002225488424e-05,40598
10,3.389996709302068e-05,40598
10,3.3699965570122004e-05,40598
10,3.390002530068159e-05,40598
10,2.8499984182417393e-05,40598
10,3.4800032153725624e-05,40598
10,2.1599989850074053e-05,40598
10,2.0299979951232672e-05,40598
10,2.0299979951232672e-05,40598
10,1.880002673715353e-05,40598
10,1.910002902150154e-05,40598
10,1.8000020645558834e-05,40598
10,1.9499973859637976e-05,40598
10,2.2099993657320738e-05,40598
10,3.0499999411404133e-05,40598
10,2.1400046534836292e-05,40598
10,1.92999723367393e-05,40598
10,2.069998299703002e-05,40598
10,2.0400038920342922e-05,40598
50,7.369997911155224e-05,40598
50,7.300003198906779e-05,40598
50,0.0001086000120267272,40598
50,8.239998714998364e-05,40598
50,8.600001456215978e-05,40598
50,8.690002141520381e-05,40598
50,8.149998029693961e-05,40598
50,8.189998334273696e-05,40598
50,0.00015109998639672995,40598
50,0.00015079998411238194,40598
50,0.00014670001110062003,40598
50,0.0001362999901175499,40598
50,0.000146100006531924,40598
50,0.00014979997649788857,40598
50,0.00010250002378597856,40598
50,9.370001498609781e-05,40598
50,8.590001380071044e-05,40598
50,9.019998833537102e-05,40598
50,0.00010380003368481994,40598
50,0.000145800004247576,40598
50,0.00014830002328380942,40598
50,0.00013890000991523266,40598
50,0.00015430001076310873,40598
50,0.00015220005298033357,40598
50,0.0001344000338576734,40598
100,0.0003201000508852303,40598
100,0.00030640000477433205,40598
100,0.000324699969496578,40598
100,0.00031869998201727867,40598
100,0.0003128000535070896,40598
100,0.00016830000095069408,40598
100,0.00017030001617968082,40598
100,0.0001689000055193901,40598
100,0.0001716000260785222,40598
100,0.00016729999333620071,40598
100,0.00016830000095069408,40598
100,0.00016910000704228878,40598
100,0.00016840000171214342,40598
100,0.00016270001651719213,40598
100,0.00016380002489313483,40598
100,0.0001680999994277954,40598
100,0.000172399973962456,40598
100,0.00016739999409765005,40598
100,0.0001666999887675047,40598
100,0.00016689999029040337,40598
100,0.00016949995188042521,40598
100,0.00016719999257475138,40598
100,0.00017099996330216527,40598
100,0.00016930000856518745,40598
100,0.00016440002946183085,40598
500,0.0016285000019706786,42809
500,0.0014421999803744256,43513
500,0.001450899988412857,43577
500,0.001422500004991889,43417
500,0.001440499967429787,43833
500,0.0015835000085644424,43577
500,0.0014532999484799802,43609
500,0.001443199987988919,43625
500,0.0014748999965377152,43769
500,0.0014663999900221825,43353
500,0.0014480999670922756,43737
500,0.0014706000220030546,43609
500,0.0014575999812223017,43577
500,0.0016519000055268407,43769
500,0.0014522999990731478,43193
500,0.0014641000307165086,43737
500,0.0014661999884992838,43961
500,0.0014800999779254198,44153
500,0.001463899970985949,43577
500,0.0014598999987356365,43481
500,0.0014607000048272312,43897
500,0.0014606000040657818,43497
500,0.0014622000162489712,43481
500,0.0014723000349476933,43897
500,0.001597900001797825,43649
1000,0.003644899989012629,91601
1000,0.0036199999740347266,90865
1000,0.0035681999870575964,91025
1000,0.003614499990362674,90641
1000,0.0035747000365518034,90865
1000,0.003742599976249039,90961
1000,0.0036205999786034226,90609
1000,0.0036328999558463693,90433
1000,0.003650600032415241,90769
1000,0.004386499989777803,90017
1000,0.0037051999825052917,90289
1000,0.0035741000319831073,91537
1000,0.0036300000501796603,91089
1000,0.0035983999841846526,90609
1000,0.003613299981225282,91201
1000,0.0036179000162519515,90177
1000,0.0036723000230267644,91505
1000,0.003610400017350912,90529
1000,0.003610399959143251,90033
1000,0.00362989999121055,91345
1000,0.0036312000011093915,90513
1000,0.0035849999985657632,90337
1000,0.003618000017013401,91249
1000,0.0036703000077977777,90433
1000,0.003638700000010431,90481
5000,0.020673300023190677,464145
5000,0.02034099999582395,462417
5000,0.02032160002272576,460209
5000,0.020255499985069036,465681
5000,0.020441400003619492,464065
5000,0.02033480000682175,460353
5000,0.0205085999914445,463233
5000,0.020399700035341084,463041
5000,0.020463499997276813,464145
5000,0.020249699999112636,462817
5000,0.02036169997882098,466305
5000,0.02045189996715635,462625
5000,0.020313499961048365,464513
5000,0.02032479998888448,464705
5000,0.020300199976190925,461409
5000,0.020234600000549108,464657
5000,0.020293200039304793,464433
5000,0.02069340000161901,463185
5000,0.0203408999950625,461857
5000,0.020411600009538233,464369
5000,0.02043299999786541,463921
5000,0.020517700002528727,462881
5000,0.020777500001713634,463505
5000,0.020610300009138882,463937
5000,0.020609800005331635,463073
10000,0.041695799969602376,928705
10000,0.041817400022409856,933425
10000,0.041993700026068836,928673
10000,0.041644099983386695,934241
10000,0.04162849998101592,927009
10000,0.04216500004986301,934001
10000,0.0416061999858357,933169
10000,0.06161360000260174,932417
10000,0.04131709999637678,932353
10000,0.04158560000360012,930625
10000,0.041401199996471405,931617
10000,0.04176940000616014,934609
10000,0.043757100007496774,930785
10000,0.043734800012316555,934545
10000,0.04379500000504777,934833
10000,0.04857259994605556,932417
10000,0.04764120001345873,935025
10000,0.044339099957142025,926625
10000,0.046760199998971075,928881
10000,0.04228210001019761,925825
10000,0.04248649999499321,931729
10000,0.04245369997806847,935185
10000,0.04174979997333139,932801
10000,0.041928799997549504,930977
10000,0.041700600006151944,932209
50000,0.22627760004252195,4688321
50000,0.2246696000220254,4708113
50000,0.23445029999129474,4661889
50000,0.23719710001023486,4683937
50000,0.23429470002884045,4665073
50000,0.22289209999144077,4666753
50000,0.22370160004356876,4692577
50000,0.22386230004485697,4681521
50000,0.23473600001307204,4705633
50000,0.23948639997979626,4703521
50000,0.2222868000390008,4674961
50000,0.22635000001173466,4689201
50000,0.23420610005268827,4705585
50000,0.23377009999239817,4662433
50000,0.23304479999933392,4710305
50000,0.22974790004082024,4711457
50000,0.22784430003957823,4667937
50000,0.22795150004094467,4709073
50000,0.22281190002104267,4661169
50000,0.23922580003272742,4659825
50000,0.226289700018242,4663201
50000,0.21751739998580888,4682497
50000,0.21424120001029223,4669137
50000,0.23362740001175553,4660817
50000,0.2234978000051342,4707457
100000,0.46231879998231307,9241201
100000,0.4616124000167474,9244241
100000,0.45286690001375973,9239505
