List Size,Time Taken (s),Peak Memory Usage (bytes)
10,7.800001185387373e-06,40598
10,5.89998671784997e-06,40598
10,5.400041118264198e-06,40598
10,4.699977580457926e-06,40598
10,4.600035026669502e-06,40598
10,4.700035788118839e-06,40598
10,4.699977580457926e-06,40598
10,4.700035788118839e-06,40598
10,4.700035788118839e-06,40598
10,4.499976057559252e-06,40598
10,4.499976057559252e-06,40598
10,4.700035788118839e-06,40598
10,4.500034265220165e-06,40598
10,4.499976057559252e-06,40598
10,4.500034265220165e-06,40598
10,4.399975296109915e-06,40598
10,4.499976057559252e-06,40598
10,4.500034265220165e-06,40598
10,4.500034265220165e-06,40598
10,4.400033503770828e-06,40598
10,4.400033503770828e-06,40598
10,4.400033503770828e-06,40598
10,4.199973773211241e-06,40598
10,4.999979864805937e-06,40598
10,4.800036549568176e-06,40598
50,1.2899981811642647e-05,40598
50,1.2299977242946625e-05,40598
50,1.1499971151351929e-05,40598
50,1.1400028597563505e-05,40598
50,1.1000025551766157e-05,40598
50,1.1499971151351929e-05,40598
50,1.1100026313215494e-05,40598
50,1.1400028597563505e-05,40598
50,1.1100026313215494e-05,40598
50,1.3399985618889332e-05,40598
50,1.2400036212056875e-05,40598
50,1.179997343569994e-05,40598
50,1.0899966582655907e-05,40598
50,1.079996582120657e-05,40598
50,1.0899966582655907e-05,40598
50,1.1699972674250603e-05,40598
50,1.079996582120657e-05,40598
50,1.1000025551766157e-05,40598
50,1.1399970389902592e-05,40598
50,1.1899974197149277e-05,40598
50,1.1800031643360853e-05,40598
50,1.0899966582655907e-05,40598
50,1.109996810555458e-05,40598
50,1.1299969628453255e-05,40598
50,1.090002479031682e-05,40598
100,2.5900022592395544e-05,40598
100,2.1700048819184303e-05,40598
100,2.0899984519928694e-05,40598
100,2.6499968953430653e-05,40598
100,2.0400038920342922e-05,40598
100,2.0200037397444248e-05,40598
100,2.0799983758479357e-05,40598
100,2.0199979189783335e-05,40598
100,2.0299979951232672e-05,40598
100,1.999997766688466e-05,40598
100,2.0099978428333998e-05,40598
100,2.0199979189783335e-05,40598
100,1.999997766688466e-05,40598
100,2.0299979951232672e-05,40598
100,2.150004729628563e-05,40598
100,2.1099986042827368e-05,40598
100,2.0299979951232672e-05,40598
100,2.039998071268201e-05,40598
100,2.0299979951232672e-05,40598
100,2.0799983758479357e-05,40598
100,2.0300038158893585e-05,40598
100,1.999997766688466e-05,40598
100,2.1200045011937618e-05,40598
100,2.0299979951232672e-05,40598
100,1.969997538253665e-05,40598
500,0.0002188000362366438,40598
500,0.00018619996262714267,40598
500,0.00016609998419880867,40598
500,0.0001664000446908176,40598
500,0.00017199997091665864,40598
500,0.00016820000018924475,40598
500,0.00016910000704228878,40598
500,0.0001653999788686633,40598
500,0.00016649998724460602,40598
500,0.00016840000171214342,40598
500,0.00017249997472390532,40598
500,0.00016920000780373812,40598
500,0.00016580004012212157,40598
500,0.00019460002658888698,40598
500,0.000172699976246804,40598
500,0.00017119996482506394,40598
500,0.00017390004359185696,40598
500,0.00017260003369301558,40598
500,0.00016710005002096295,40598
500,0.00016499997582286596,40598
500,0.00016490003326907754,40598
500,0.00016440002946183085,40598
500,0.0001637000241316855,40598
500,0.00016439997125416994,40598
500,0.00016420002793893218,40598
1000,0.0004197999951429665,40598
1000,0.00042230001417919993,40598
1000,0.0004178000381216407,40598
1000,0.0004222000134177506,40598
1000,0.00045849999878555536,40598
1000,0.00041770003736019135,40598
1000,0.0004175999783910811,40598
1000,0.0004217000096105039,40598
1000,0.00042320002103224397,40598
1000,0.0004159000236541033,40598
1000,0.0004151000175625086,40598
1000,0.00041699997382238507,40598
1000,0.00042339996434748173,40598
1000,0.0004120999947190285,40598
1000,0.0004113000468350947,40598
1000,0.000526999996509403,40598
1000,0.00042610004311427474,40598
1000,0.0004217000096105039,40598
1000,0.0004262999864295125,40598
1000,0.00042289996054023504,40598
1000,0.00041769997915253043,40598
1000,0.00042230001417919993,40598
1000,0.00043840002035722136,40598
1000,0.00041610002517700195,40598
1000,0.00041499995859339833,40598
5000,0.002474200038705021,53029
5000,0.002506399992853403,53029
5000,0.0025121999788098037,53029
5000,0.0024745999835431576,53029
5000,0.002465600031428039,53029
5000,0.002482400042936206,53029
5000,0.002571699966210872,53029
5000,0.0025012000114656985,53029
5000,0.0024696000036783516,53029
5000,0.0024692000006325543,53029
5000,0.0024611999979242682,53029
5000,0.0025119000347331166,53029
5000,0.002463500015437603,53029
5000,0.0025119000347331166,53029
5000,0.002467599988449365,53029
5000,0.0025201000389643013,53029
5000,0.0025211000465787947,53029
5000,0.002507800003513694,53029
5000,0.0025015000137500465,53029
5000,0.0024828999885357916,53029
5000,0.0025368999922648072,53029
5000,0.002502300019841641,53029
5000,0.0025050000404007733,53029
5000,0.0024919999996200204,53029
5000,0.002473000029567629,53029
10000,0.005225299973972142,105925
10000,0.0051571999792940915,105925
10000,0.005232400028035045,105925
10000,0.005158299987670034,105925
10000,0.005238200013991445,105925
10000,0.005205200053751469,105925
10000,0.005155299964826554,105925
10000,0.00520479999249801,105925
10000,0.005208999966271222,105925
10000,0.005125599971506745,105925
10000,0.005226899986155331,105925
10000,0.0051300000050105155,105925
10000,0.005169700016267598,105925
10000,0.005165399983525276,105925
10000,0.005171800032258034,105925
10000,0.005241399980150163,105925
10000,0.00518549996195361,105925
10000,0.005115000007208437,105925
10000,0.00522270001238212,105925
10000,0.0051521999994292855,105925
10000,0.0051728999824263155,105925
10000,0.005217999976594001,105925
10000,0.005192200012970716,105925
10000,0.005396099993959069,105925
10000,0.00520039995899424,105925
50000,0.028816299978643656,538213
50000,0.028975199966225773,538213
50000,0.028451699996367097,538213
50000,0.02840090001700446,538213
50000,0.02807800000300631,538213
50000,0.027821999974548817,538213
50000,0.02810769999632612,538213
50000,0.027973300020676106,538213
50000,0.02785000001313165,538213
50000,0.027998999983537942,538213
50000,0.027826800011098385,538213
50000,0.028030300047248602,538213
50000,0.027813799970317632,538213
50000,0.027572299994062632,538213
50000,0.03227219998370856,538213
50000,0.031764799961820245,538213
50000,0.027775400027167052,538213
50000,0.028104799974244088,538213
50000,0.02807180001400411,538213
50000,0.028190200042445213,538213
50000,0.028536500001791865,538213
50000,0.028502000030130148,538213
50000,0.02778319997014478,538213
50000,0.02774900000076741,538213
50000,0.027945500041823834,538213
100000,0.058635199966374785,1084005
100000,0.05941099999472499,1084005
100000,0.058107799966819584,1084005
100000,0.05776890000561252,1084005
100000,0.05716600001323968,1084005
100000,0.05847749998793006,1084005
100000,0.05676130001666024,1084005
100000,0.05841370002599433,1084005
100000,0.05850400001509115,1084005
100000,0.05854430003091693,1084005
100000,0.05863109999336302,1084005
100000,0.05858730000909418,1084005
100000,0.05915260000620037,1084005
100000,0.057433600013609976,1084005
100000,0.05800940003246069,1084005
100000,0.05869799997890368,1084005
100000,0.07360639999387786,1084005
100000,0.057615800003986806,1084005
100000,0.0582317000371404,1084005
100000,0.057728399988263845,1084005
100000,0.05748750001657754,1084005
100000,0.05731449997983873,1084005
100000,0.057704700040630996,1084005
100000,0.05799329996807501,1084005
100000,0.05798600002890453,1084005
500000,0.3445388000109233,5177957
500000,0.37010210001608357,5177957
500000,0.35801500000525266,5177957
500000,0.35654960002284497,5177957
500000,0.3400344999972731,5177957
500000,0.31917809997685254,5177957
500000,0.3377208999590948,5177957
500000,0.3408505999832414,5177957
500000,0.3524735000100918,5177957
500000,0.36370220000389963,5177957
500000,0.3318474999978207,5177957
500000,0.3362549999728799,5177957
500000,0.3160273000248708,5177957
500000,0.32182229997124523,5177957
500000,0.3183153999852948,5177957
500000,0.31289509998168796,5177957
500000,0.3156065000221133,5177957
500000,0.3119643999962136,5177957
500000,0.3194655000115745,5177957
500000,0.31640769995283335,5177957
500000,0.3101662999833934,5177957
500000,0.3128122999914922,5177957
500000,0.31038690003333613,5177957
500000,0.31826790003106,5177957
500000,0.323418700019829,5177957
1000000,0.704797399987001,10434917
1000000,0.7086392000201158,10434917
1000000,0.7204272999661043,10434917
1000000,0.6828340999782085,10434917
1000000,0.696833299996797,10434917
1000000,0.7006413000053726,10434917
1000000,0.73416079999879,10434917
1000000,0.7224527000216767,10434917
1000000,0.7117803999572061,10434917
1000000,0.7417031000368297,10434917
1000000,0.7163690000306815,10434917
1000000,0.6995882000192069,10434917
1000000,0.7306844999548048,10434917
1000000,0.7217300999909639,10434917
1000000,0.7091846000403166,10434917
1000000,0.7002019999781623,10434917
1000000,0.7162737000035122,10434917
1000000,0.7171660999883898,10434917
1000000,0.7319309000158682,10434917
1000000,0.7069435000303201,10434917
1000000,0.7181336000212468,10434917
1000000,0.7593585000140592,10434917
1000000,0.7131284999777563,10434917
1000000,0.6860067999805324,10434917
1000000,0.7482805000036024,10434917
