List Size,Time Taken (s),Peak Memory Usage (bytes)
10,7.199996616691351e-06,40774
10,5.499983672052622e-06,40814
10,8.100003469735384e-06,40806
10,6.300047971308231e-06,40798
10,4.799978341907263e-06,40790
10,4.699977580457926e-06,40782
10,4.600035026669502e-06,40774
10,4.499976057559252e-06,40758
10,4.299974534660578e-06,40750
10,4.300032742321491e-06,40742
10,4.499976057559252e-06,40734
10,4.400033503770828e-06,40726
10,4.599976819008589e-06,40718
10,4.999979864805937e-06,40710
10,6.599992047995329e-06,40702
10,4.799978341907263e-06,40686
10,4.600035026669502e-06,40678
10,4.599976819008589e-06,40670
10,4.600035026669502e-06,40662
10,4.399975296109915e-06,40654
10,4.400033503770828e-06,40646
10,4.300032742321491e-06,40638
10,4.299974534660578e-06,40630
10,4.199973773211241e-06,40614
10,4.199973773211241e-06,40606
50,1.3599987141788006e-05,40598
50,1.0300020221620798e-05,40598
50,9.90001717582345e-06,40598
50,1.0000017937272787e-05,40598
50,1.0300020221620798e-05,40598
50,9.800016414374113e-06,40598
50,9.700015652924776e-06,40598
50,1.8300022929906845e-05,40598
50,1.0500021744519472e-05,40598
50,1.0000017937272787e-05,40598
50,1.0100018698722124e-05,40598
50,9.800016414374113e-06,40598
50,1.0200019460171461e-05,40598
50,9.699957445263863e-06,40598
50,9.90001717582345e-06,40598
50,9.90001717582345e-06,40598
50,1.0100018698722124e-05,40598
50,1.0199961252510548e-05,40598
50,1.0500021744519472e-05,40598
50,1.0600022505968809e-05,40598
50,1.0400020983070135e-05,40598
50,1.1899974197149277e-05,40598
50,1.0500021744519472e-05,40598
50,1.0199961252510548e-05,40598
50,1.009996049106121e-05,40598
100,1.9099970813840628e-05,40598
100,1.7900019884109497e-05,40598
100,1.7599959392100573e-05,40598
100,1.7400016076862812e-05,40598
100,1.729995710775256e-05,40598
100,1.6700010746717453e-05,40598
100,1.6400008462369442e-05,40598
100,1.680001150816679e-05,40598
100,1.6600009985268116e-05,40598
100,1.6700010746717453e-05,40598
100,1.650000922381878e-05,40598
100,1.6600009985268116e-05,40598
100,1.650000922381878e-05,40598
100,1.6900012269616127e-05,40598
100,1.6599951777607203e-05,40598
100,1.6600009985268116e-05,40598
100,1.6700010746717453e-05,40598
100,1.669995253905654e-05,40598
100,1.680001150816679e-05,40598
100,1.7099955584853888e-05,40598
100,1.6900012269616127e-05,40598
100,1.6900012269616127e-05,40598
100,1.6600009985268116e-05,40598
100,1.71000137925148e-05,40598
100,1.6900012269616127e-05,40598
500,0.00018279999494552612,40598
500,0.00014670001110062003,40598
500,0.00014420005027204752,40598
500,0.00014289998216554523,40598
500,0.0001545000122860074,40598
500,0.00014560000272467732,40598
500,0.00014589994680136442,40598
500,0.0001471999567002058,40598
500,0.00014589994680136442,40598
500,0.00014450005255639553,40598
500,0.00014560000272467732,40598
500,0.00014540000120177865,40598
500,0.00014710001414641738,40598
500,0.00014449999434873462,40598
500,0.0001433999859727919,40598
500,0.0001430999836884439,40598
500,0.00014220003504306078,40598
500,0.00014349998673424125,40598
500,0.00014179997378960252,40598
500,0.00014189997455105186,40598
500,0.0001453000004403293,40598
500,0.00014349998673424125,40598
500,0.00014640000881627202,40598
500,0.00014489999739453197,40598
500,0.00014239997835829854,40598
1000,0.0003686999552883208,40598
1000,0.00037620001239702106,40598
1000,0.0003761000116355717,40598
1000,0.00037129997508600354,40598
1000,0.0003738999948836863,40598
1000,0.0003777000238187611,40598
1000,0.0004050999996252358,40598
1000,0.00037570000858977437,40598
1000,0.0003774999640882015,40598
1000,0.00037369999336078763,40598
1000,0.0003720000386238098,40598
1000,0.0003674000035971403,40598
1000,0.00036940001882612705,40598
1000,0.0003771999618038535,40598
1000,0.0003727000439539552,40598
1000,0.00037099997280165553,40598
1000,0.00036999996518716216,40598
1000,0.0003663000534288585,40598
1000,0.0003711999743245542,40598
1000,0.00036500004353001714,40598
1000,0.00036429997999221087,40598
1000,0.0003696000203490257,40598
1000,0.0003652000450529158,40598
1000,0.00036880001425743103,40598
1000,0.00037049996899440885,40598
5000,0.0022184000117704272,53029
5000,0.002201499999500811,53029
5000,0.0022197000216692686,53029
5000,0.002256800013128668,53029
5000,0.002241399954073131,53029
5000,0.0022404000046662986,53029
5000,0.0022108000121079385,53029
5000,0.0021858999971300364,53029
5000,0.0021832999773323536,53029
5000,0.0022176000056788325,53029
5000,0.0021958999568596482,53029
5000,0.002233100007288158,53029
5000,0.0022113999584689736,53029
5000,0.0022210999741218984,53029
5000,0.0021908999769948423,53029
5000,0.0023445000406354666,53029
5000,0.0021878000115975738,53029
5000,0.0021959999576210976,53029
5000,0.0021952000097371638,53029
5000,0.002190799976233393,53029
5000,0.0022187000140547752,53029
5000,0.0022261000121943653,53029
5000,0.0022017000010237098,53029
5000,0.002218899957370013,53029
5000,0.0022380000445991755,53029
10000,0.004641499952413142,105925
10000,0.004570499993860722,105925
10000,0.004545899981167167,105925
10000,0.004591999982949346,105925
10000,0.0045492000062949955,105925
10000,0.004549700010102242,105925
10000,0.004575399972964078,105925
10000,0.004817800014279783,105925
10000,0.004525700001977384,105925
10000,0.004545199975837022,105925
10000,0.004536100022960454,105925
10000,0.004560200031846762,105925
10000,0.004547599994111806,105925
10000,0.004547500051558018,105925
10000,0.004561499983537942,105925
10000,0.00453659996856004,105925
10000,0.004534000006970018,105925
10000,0.004501599993091077,105925
10000,0.0045479999971576035,105925
10000,0.004516199987847358,105925
10000,0.004514799977187067,105925
10000,0.004563499998766929,105925
10000,0.004571500001475215,105925
10000,0.004521599970757961,105925
10000,0.004505400022026151,105925
50000,0.023902299988549203,538213
50000,0.024526000022888184,538213
50000,0.02402880002046004,538213
50000,0.024425500014331192,538213
50000,0.02378260000841692,538213
50000,0.0245116000296548,538213
50000,0.023975800024345517,538213
50000,0.024088300007861108,538213
50000,0.024155799997970462,538213
50000,0.02413989999331534,538213
50000,0.02419329999247566,538213
50000,0.024331199994776398,538213
50000,0.02430699998512864,538213
50000,0.024134499952197075,538213
50000,0.024314899987075478,538213
50000,0.024476599995978177,538213
50000,0.024556500022299588,538213
50000,0.0244067000458017,538213
50000,0.024097600020468235,538213
50000,0.02436649997252971,538213
50000,0.02438289998099208,538213
50000,0.02427749999333173,538213
50000,0.02438409999012947,538213
50000,0.02445689996238798,538213
50000,0.023809699981939048,538213
100000,0.0488490000134334,1084005
100000,0.04950229998212308,1084005
100000,0.05229010002221912,1084005
100000,0.0500653000199236,1084005
100000,0.05025910004042089,1084005
100000,0.04962659999728203,1084005
100000,0.04982299997936934,1084005
100000,0.049768100026994944,1084005
100000,0.04929150000680238,1084005
100000,0.049234299978706986,1084005
100000,0.049111499974969774,1084005
100000,0.049237200000789016,1084005
100000,0.04966060002334416,1084005
100000,0.049760099966079,1084005
100000,0.049448000034317374,1084005
100000,0.04980809998232871,1084005
100000,0.049970899999607354,1084005
100000,0.04915709997294471,1084005
100000,0.04938929999480024,1084005
100000,0.04934669996146113,1084005
100000,0.0497161999810487,1084005
100000,0.050652400008402765,1084005
100000,0.050572600041050464,1084005
100000,0.0504870000295341,1084005
100000,0.04990749998250976,1084005
500000,0.2568291000206955,5177957
500000,0.25809610000578687,5177957
500000,0.2583320999983698,5177957
500000,0.25736619997769594,5177957
500000,0.25498939998215064,5177957
500000,0.25914690003264695,5177957
500000,0.2627092999755405,5177957
500000,0.25800299999536946,5177957
500000,0.2634517999831587,5177957
500000,0.2589454000117257,5177957
500000,0.2646029999596067,5177957
500000,0.2623535000020638,5177957
500000,0.27820729999803007,5177957
500000,0.26073459995677695,5177957
500000,0.2586170000140555,5177957
500000,0.25619310000911355,5177957
500000,0.2532120000105351,5177957
500000,0.2605561999953352,5177957
500000,0.2604674000176601,5177957
500000,0.2602006000233814,5177957
500000,0.2555565000511706,5177957
500000,0.25693329999921843,5177957
500000,0.26119330001529306,5177957
500000,0.2578410000423901,5177957
500000,0.25644299999112263,5177957
1000000,0.5195844999980181,10434917
1000000,0.536027499998454,10434917
1000000,0.5366019000066444,10434917
1000000,0.5287435000063851,10434917
1000000,0.550364599970635,10434917
1000000,0.5514911999925971,10434917
1000000,0.5347365000052378,10434917
1000000,0.5327450999757275,10434917
1000000,0.5485431000124663,10434917
1000000,0.5360716999857686,10434917
1000000,0.5230458000442013,10434917
1000000,0.5303312000469305,10434917
1000000,0.5325593000161462,10434917
1000000,0.5412111000041477,10434917
1000000,0.5453959999722429,10434917
1000000,0.545105200028047,10434917
1000000,0.5297192999860272,10434917
1000000,0.5443296999437734,10434917
1000000,0.5444713999750093,10434917
1000000,0.5393002000055276,10434917
1000000,0.5328418000135571,10434917
1000000,0.5288081000326201,10434917
1000000,0.5272325000260025,10434917
1000000,0.527519499999471,10434917
1000000,0.5420716000371613,10434917
