List Size,Time Taken (s),Peak Memory Usage (bytes)
10,1.7899961676448584e-05,264916
10,1.4299992471933365e-05,40814
10,1.880002673715353e-05,40806
10,1.6899954061955214e-05,40798
10,1.6400008462369442e-05,40790
10,1.650000922381878e-05,40782
10,1.2599979527294636e-05,40774
10,1.2899981811642647e-05,40758
10,1.2800039257854223e-05,40750
10,1.260003773495555e-05,40742
10,1.2599979527294636e-05,40734
10,1.2400036212056875e-05,40726
10,1.2400036212056875e-05,40718
10,1.7900019884109497e-05,40710
10,1.6600009985268116e-05,40702
10,1.6000005416572094e-05,40686
10,1.3000040780752897e-05,40678
10,1.2200034689158201e-05,40670
10,1.209997572004795e-05,40662
10,1.2500036973506212e-05,40654
10,1.2300035450607538e-05,40646
10,1.2499978765845299e-05,40638
10,1.2299977242946625e-05,40630
10,1.209997572004795e-05,40614
10,1.2000033166259527e-05,40606
50,8.019997039809823e-05,40598
50,7.860001642256975e-05,40598
50,6.279995432123542e-05,40598
50,6.330001633614302e-05,40598
50,6.360001862049103e-05,40598
50,6.389996269717813e-05,40598
50,6.269995355978608e-05,40598
50,6.290001329034567e-05,40598
50,6.250001024454832e-05,40598
50,6.280001252889633e-05,40598
50,6.419996498152614e-05,40598
50,6.280001252889633e-05,40598
50,6.32999581284821e-05,40598
50,6.309995660558343e-05,40598
50,6.59999786876142e-05,40598
50,6.499997107312083e-05,40598
50,6.369996117427945e-05,40598
50,7.589999586343765e-05,40598
50,8.00999696366489e-05,40598
50,8.049997268244624e-05,40598
50,6.3000014051795e-05,40598
50,6.330001633614302e-05,40598
50,6.260001100599766e-05,40598
50,6.239995127543807e-05,40598
50,6.210000719875097e-05,40598
100,0.00016390002565458417,40598
100,0.0001306000049225986,40598
100,0.00013210001634433866,40598
100,0.0001297999988310039,40598
100,0.00012969999806955457,40598
100,0.00013080000644549727,40598
100,0.0001308999489992857,40598
100,0.00013040000339969993,40598
100,0.00013040000339969993,40598
100,0.00013110000872984529,40598
100,0.00013179995585232973,40598
100,0.00013050000416114926,40598
100,0.00013040000339969993,40598
100,0.00013100000796839595,40598
100,0.00013020000187680125,40598
100,0.00013080000644549727,40598
100,0.0001303000026382506,40598
100,0.00013100000796839595,40598
100,0.0001333000254817307,40598
100,0.00013120000949129462,40598
100,0.00013080000644549727,40598
100,0.00013120000949129462,40598
100,0.00012839998817071319,40598
100,0.00013000000035390258,40598
100,0.00012939999578520656,40598
500,0.0028800999862141907,40598
500,0.0028865999775007367,40598
500,0.0029122999985702336,40598
500,0.0029078000225126743,40598
500,0.0029141000122763216,40598
500,0.0029141000122763216,40598
500,0.0029211000073701143,40598
500,0.0029276999994181097,40598
500,0.0029118999955244362,40598
500,0.002914799959398806,40598
500,0.002909699978772551,40598
500,0.002901199972257018,40598
500,0.0029175999807193875,40598
500,0.002904499997384846,40598
500,0.002890000003390014,40598
500,0.002903599990531802,40598
