List Size,Time Taken (s),Peak Memory Usage (bytes)
10,3.349996404722333e-05,40598
10,2.8199981898069382e-05,40598
10,2.0900042727589607e-05,40598
10,2.0599982235580683e-05,40598
10,1.780001912266016e-05,40598
10,1.7400016076862812e-05,40598
10,1.6600009985268116e-05,40598
10,1.769996015354991e-05,40598
10,1.9599974621087313e-05,40598
10,1.7000013031065464e-05,40598
10,2.0899984519928694e-05,40598
10,2.0099978428333998e-05,40598
10,1.999997766688466e-05,40598
10,2.0400038920342922e-05,40598
10,2.300000051036477e-05,40598
10,2.3300002794712782e-05,40598
10,2.099998528137803e-05,40598
10,1.98000343516469e-05,40598
10,1.7799960914999247e-05,40598
10,1.7000013031065464e-05,40598
10,2.0299979951232672e-05,40598
10,1.7200014553964138e-05,40598
10,1.780001912266016e-05,40598
10,1.780001912266016e-05,40598
10,2.0499981474131346e-05,40598
50,0.00012129999231547117,40598
50,0.00011200003791600466,40598
50,0.0001018000184558332,40598
50,0.00010430003749206662,40598
50,0.00010649999603629112,40598
50,0.000103199970908463,40598
50,0.00010300002759322524,40598
50,0.00010010000551119447,40598
50,0.0001047999830916524,40598
50,0.00010760000441223383,40598
50,0.00011059996904805303,40598
50,0.0001037000329233706,40598
50,0.00010820000898092985,40598
50,0.00010339997243136168,40598
50,0.00010890001431107521,40598
50,0.00010250002378597856,40598
50,0.00010490004206076264,40598
50,0.00010269996710121632,40598
50,0.00010599999222904444,40598
50,0.00010139995720237494,40598
50,9.660003706812859e-05,40598
50,0.00011339999036863446,40598
50,9.929999941959977e-05,40598
50,0.00013970001600682735,40598
50,0.00010040000779554248,40598
100,0.00022420001914724708,40598
100,0.00021520000882446766,40598
100,0.000208800018299371,40598
100,0.0002161000156775117,40598
100,0.0002174999681301415,40598
100,0.00022579997312277555,40598
100,0.0002117999829351902,40598
100,0.00022139999782666564,40598
100,0.00022190000163391232,40598
100,0.00022220000391826034,40598
100,0.0002174999681301415,40598
100,0.00021989998640492558,40598
100,0.0002348999842070043,40598
100,0.00021239998750388622,40598
100,0.00020670000230893493,40598
100,0.00022190000163391232,40598
100,0.00021330005256459117,40598
100,0.00020599999697878957,40598
100,0.0002148000057786703,40598
100,0.00021399999968707561,40598
100,0.00022769998759031296,40598
100,0.00021630001720041037,40598
100,0.0002133999951183796,40598
100,0.00021770002786070108,40598
100,0.0002455000067129731,40598
500,0.001241199963260442,40598
500,0.0011667999788187444,40598
500,0.001220199977979064,40598
500,0.0011704000062309206,40598
500,0.0011733999708667397,40598
500,0.0011606999905779958,40598
500,0.001143299974501133,40598
500,0.0012236000038683414,40598
500,0.0011561999563127756,40598
500,0.0011582999723032117,40598
500,0.0012300999951548874,40598
500,0.0011826999834738672,40598
500,0.0013016000157222152,40598
500,0.0011826000409200788,40598
500,0.001241500023752451,40598
500,0.0011468000011518598,40598
500,0.0011899000382982194,40598
500,0.0011547000030986965,40598
500,0.0011631000088527799,40598
500,0.001156299957074225,40598
500,0.0012431999784894288,40598
500,0.0011792999575845897,40598
500,0.0011955000227317214,40598
500,0.0011919999960809946,40598
500,0.0011940000113099813,40598
1000,0.002464100020006299,40598
1000,0.002396299969404936,40598
1000,0.0023880000226199627,40598
1000,0.002394299954175949,40598
1000,0.0023699000012129545,40598
1000,0.0024283999809995294,40598
1000,0.0023753000423312187,40598
1000,0.002419800031930208,40598
1000,0.0024305999977514148,40598
1000,0.002395399962551892,40598
