List Size,Time Taken (s),Peak Memory Usage (bytes)
10,2.3800006601959467e-05,40598
10,1.8099963199347258e-05,40598
10,2.1200045011937618e-05,40598
10,1.6400008462369442e-05,40598
10,1.3599987141788006e-05,40598
10,2.0000035874545574e-05,40598
10,1.6700010746717453e-05,40598
10,1.780001912266016e-05,40598
10,1.8099963199347258e-05,40598
10,1.9600032828748226e-05,40598
10,2.1000043489038944e-05,40598
10,1.7200014553964138e-05,40598
10,2.0599982235580683e-05,40598
10,1.3299984857439995e-05,40598
10,1.6900012269616127e-05,40598
10,1.3299984857439995e-05,40598
10,1.92999723367393e-05,40598
10,1.610000617802143e-05,40598
10,1.4599994756281376e-05,40598
10,1.7000013031065464e-05,40598
10,1.8600025214254856e-05,40598
10,1.8000020645558834e-05,40598
10,1.5099998563528061e-05,40598
10,1.8499966245144606e-05,40598
10,1.3999990187585354e-05,40598
50,9.890005458146334e-05,40598
50,9.730004239827394e-05,40598
50,0.00010710000060498714,40598
50,8.520000847056508e-05,40598
50,9.299995144829154e-05,40598
50,8.859997615218163e-05,40598
50,8.819997310638428e-05,40598
50,9.71999834291637e-05,40598
50,9.739998495206237e-05,40598
50,9.960000170394778e-05,40598
50,9.339995449408889e-05,40598
50,9.55999712459743e-05,40598
50,9.200000204145908e-05,40598
50,0.00010110001312568784,40598
50,0.00010659999679774046,40598
50,0.00010449998080730438,40598
50,0.00014650000957772136,40598
50,0.00015330000314861536,40598
50,0.00012739998055621982,40598
50,8.85000335983932e-05,40598
50,9.350001346319914e-05,40598
50,9.580003097653389e-05,40598
50,9.590003173798323e-05,40598
50,8.9599983766675e-05,40598
50,8.149998029693961e-05,40598
100,0.00023290002718567848,40598
100,0.000199599948246032,40598
100,0.00018829997861757874,40598
100,0.00019829999655485153,40598
100,0.0001870999694801867,40598
100,0.00020700000459328294,40598
100,0.0001949999714270234,40598
100,0.00019480002811178565,40598
100,0.00020049995509907603,40598
100,0.00019829999655485153,40598
100,0.0001873000292107463,40598
100,0.00019350001821294427,40598
100,0.00020670000230893493,40598
100,0.0002096000243909657,40598
100,0.0003332000342197716,40598
100,0.0003106999793089926,40598
100,0.00021109997760504484,40598
100,0.0001917000045068562,40598
100,0.00020519999088719487,40598
100,0.0002019999665208161,40598
100,0.00018710002768784761,40598
100,0.00018259999342262745,40598
100,0.00020380003843456507,40598
100,0.00018309999722987413,40598
100,0.0001762000028975308,40598
500,0.0011595000396482646,40598
500,0.0010801000171341002,40598
500,0.001166099973488599,40598
500,0.0011381999938748777,40598
500,0.0010653000208549201,40598
500,0.0011811000294983387,40598
500,0.001066999975591898,40598
500,0.0010825999779626727,40598
500,0.0010500999633222818,40598
500,0.0010573999607004225,40598
500,0.0011985000455752015,40598
500,0.0010932000004686415,40598
500,0.0010367999784648418,40598
500,0.0010940000065602362,40598
500,0.001019399962387979,40598
500,0.001050200022291392,40598
500,0.0010809999657794833,40598
500,0.0010697999969124794,40598
500,0.0010350000229664147,40598
500,0.0010244000004604459,40598
500,0.0010525999823585153,40598
500,0.0010151000460609794,40598
500,0.001052499981597066,40598
500,0.0011026000138372183,40598
500,0.0011036000214517117,40598
1000,0.002187600010074675,40598
1000,0.002171000000089407,40598
1000,0.0022033999557606876,40598
1000,0.0021932999952696264,40598
1000,0.002220699971076101,40598
1000,0.002114799979608506,40598
1000,0.0021850999910384417,40598
1000,0.002212400024291128,40598
1000,0.0021807000157423317,40598
1000,0.002351699979044497,40598
1000,0.0021455000387504697,40598
