List Size,Time Taken (s),Peak Memory Usage (bytes)
10,9.600014891475439e-06,41044
10,7.099995855242014e-06,40814
10,6.199989002197981e-06,40806
10,9.400013368576765e-06,40798
10,6.999995093792677e-06,40790
10,6.499991286545992e-06,40782
10,5.699985194951296e-06,40774
10,5.599984433501959e-06,40758
10,5.400041118264198e-06,40750
10,5.599984433501959e-06,40742
10,5.299982149153948e-06,40734
10,9.499955922365189e-06,40726
10,8.100003469735384e-06,40718
10,5.89998671784997e-06,40710
10,5.600042641162872e-06,40702
10,5.599984433501959e-06,40686
10,5.699985194951296e-06,40678
10,5.399982910603285e-06,40670
10,5.499983672052622e-06,40662
10,5.399982910603285e-06,40654
10,5.399982910603285e-06,40646
10,5.299982149153948e-06,40638
10,9.100011084228754e-06,40630
10,7.700000423938036e-06,40614
10,6.00004568696022e-06,40606
50,9.699957445263863e-06,40598
50,8.899951353669167e-06,40598
50,8.300004992634058e-06,40598
50,8.200004231184721e-06,40598
50,8.000002708286047e-06,40598
50,8.200004231184721e-06,40598
50,8.100003469735384e-06,40598
50,8.400005754083395e-06,40598
50,1.209997572004795e-05,40598
50,1.090002479031682e-05,40598
50,8.500006515532732e-06,40598
50,1.0600022505968809e-05,40598
50,9.000010322779417e-06,40598
50,8.299946784973145e-06,40598
50,8.400005754083395e-06,40598
50,8.700008038431406e-06,40598
50,8.400005754083395e-06,40598
50,8.699949830770493e-06,40598
50,8.200004231184721e-06,40598
50,8.400005754083395e-06,40598
50,8.100003469735384e-06,40598
50,8.200004231184721e-06,40598
50,8.800008799880743e-06,40598
50,1.1599971912801266e-05,40598
50,1.0800024028867483e-05,40598
100,1.4099990949034691e-05,40598
100,1.5099998563528061e-05,40598
100,1.3399985618889332e-05,40598
100,1.290004001930356e-05,40598
100,1.2899981811642647e-05,40598
100,1.4499993994832039e-05,40598
100,1.2499978765845299e-05,40598
100,1.3000040780752897e-05,40598
100,1.2699980288743973e-05,40598
100,1.2700038496404886e-05,40598
100,1.260003773495555e-05,40598
100,1.260003773495555e-05,40598
100,1.2899981811642647e-05,40598
100,1.279998105019331e-05,40598
100,1.2499978765845299e-05,40598
100,1.2599979527294636e-05,40598
100,1.2899981811642647e-05,40598
100,1.2599979527294636e-05,40598
100,1.260003773495555e-05,40598
100,1.2399978004395962e-05,40598
100,2.0599982235580683e-05,40598
100,1.780001912266016e-05,40598
100,1.3700046110898256e-05,40598
100,1.6099947970360518e-05,40598
100,1.4099990949034691e-05,40598
500,6.829999620094895e-05,40598
500,4.569999873638153e-05,40598
500,3.5699980799108744e-05,40598
500,3.539997851476073e-05,40598
500,3.5299977753311396e-05,40598
500,3.519997699186206e-05,40598
500,3.460003063082695e-05,40598
500,3.530003596097231e-05,40598
500,3.439997090026736e-05,40598
500,3.489997470751405e-05,40598
500,3.559998003765941e-05,40598
500,3.5400036722421646e-05,40598
500,3.4299970138818026e-05,40598
500,3.349996404722333e-05,40598
500,3.350002225488424e-05,40598
500,3.320001997053623e-05,40598
500,3.4100026823580265e-05,40598
500,3.4999975468963385e-05,40598
500,3.44999716617167e-05,40598
500,3.300001844763756e-05,40598
500,3.320001997053623e-05,40598
500,3.309996100142598e-05,40598
500,3.2999960239976645e-05,40598
500,3.320001997053623e-05,40598
500,3.460003063082695e-05,40598
1000,8.610001532360911e-05,40598
1000,5.8999983593821526e-05,40598
1000,6.059999577701092e-05,40598
1000,5.8100034948438406e-05,40598
1000,5.7699973694980145e-05,40598
1000,5.730002885684371e-05,40598
1000,5.7699973694980145e-05,40598
1000,5.6299963034689426e-05,40598
1000,5.609996151179075e-05,40598
1000,5.579995922744274e-05,40598
1000,5.6399963796138763e-05,40598
1000,5.619996227324009e-05,40598
1000,5.6100019719451666e-05,40598
1000,5.820003570988774e-05,40598
1000,5.690002581104636e-05,40598
1000,5.660002352669835e-05,40598
1000,5.740002961829305e-05,40598
1000,5.6699966080486774e-05,40598
1000,5.640002200379968e-05,40598
1000,9.809999028220773e-05,40598
1000,6.089999806135893e-05,40598
1000,5.860003875568509e-05,40598
1000,5.760003114119172e-05,40598
1000,5.790003342553973e-05,40598
1000,5.7500030379742384e-05,40598
5000,0.0002793999738059938,122921
5000,0.00022250000620260835,122921
5000,0.000222100003156811,122921
5000,0.000215300009585917,122921
5000,0.00021590001415461302,122921
5000,0.00021930004004389048,122921
5000,0.0002190999803133309,122921
5000,0.00021899997955188155,122921
5000,0.000221800000872463,122921
5000,0.00022190000163391232,122921
5000,0.0002204999909736216,122921
5000,0.0002204999909736216,122921
5000,0.00021440000273287296,122921
5000,0.00021819997346028686,122921
5000,0.00021520000882446766,122921
5000,0.0002182999742217362,122921
5000,0.00022009998792782426,122921
5000,0.00021799997193738818,122921
5000,0.00021430000197142363,122921
5000,0.00021620001643896103,122921
5000,0.00021569995442405343,122921
5000,0.0002191000385209918,122921
5000,0.00021620001643896103,122921
5000,0.00028419995214790106,122921
5000,0.00022500002523884177,122921
10000,0.0004896000027656555,246217
10000,0.0004743000026792288,246217
10000,0.00047560001257807016,246217
10000,0.0004553000326268375,246217
10000,0.0004721000441350043,246217
10000,0.00045440002577379346,246217
10000,0.00046230002772063017,246217
10000,0.0004469999694265425,246217
10000,0.0004594000056385994,246217
10000,0.00043889996595680714,246217
10000,0.00045659998431801796,246217
10000,0.0004582999972626567,246217
10000,0.0004547999706119299,246217
10000,0.00043969997204840183,246217
10000,0.0005298000178299844,246217
10000,0.00044620002154260874,246217
10000,0.0004563999827951193,246217
10000,0.00044359994353726506,246217
10000,0.0004556999774649739,246217
10000,0.0004422999918460846,246217
10000,0.000451600004453212,246217
10000,0.00043840002035722136,246217
10000,0.00044839998008683324,246217
10000,0.00043750001350417733,246217
10000,0.00045220000902190804,246217
50000,0.002321799984201789,1245417
50000,0.0026325000217184424,1245417
50000,0.002653900010045618,1245417
50000,0.0023923999979160726,1245417
50000,0.002411099965684116,1245417
50000,0.0024619000032544136,1245417
50000,0.002411699970252812,1245417
50000,0.0024682999937795103,1245417
50000,0.0024357999791391194,1245417
50000,0.002612199983559549,1245417
50000,0.002547499956563115,1245417
50000,0.0024947000201791525,1245417
50000,0.002408800006378442,1245417
50000,0.002794100029859692,1245417
50000,0.0024335000198334455,1245417
50000,0.002509600017219782,1245417
50000,0.0025212999898940325,1245417
50000,0.002674699993804097,1245417
50000,0.002437999995891005,1245417
50000,0.00249510002322495,1245417
50000,0.0024372999905608594,1245417
50000,0.0025118000339716673,1245417
50000,0.0024283999809995294,1245417
50000,0.0025870000245049596,1245417
50000,0.002572299970779568,1245417
100000,0.005016600014641881,2402025
100000,0.004957400029525161,2402025
100000,0.005008599953725934,2402025
100000,0.004908100003376603,2402025
100000,0.00476340000750497,2402025
100000,0.005177100014407188,2402025
100000,0.004805799981113523,2402025
100000,0.004922599997371435,2402025
100000,0.005051400046795607,2402025
100000,0.0048531999927945435,2402025
100000,0.0048739000339992344,2402025
100000,0.005156399973202497,2402025
100000,0.00480190000962466,2402025
100000,0.0048451999900862575,2402025
100000,0.0048322000075131655,2402025
100000,0.0049637999618425965,2402025
100000,0.004734500020276755,2402025
100000,0.00490399997215718,2402025
100000,0.004949100024532527,2402025
100000,0.004890199983492494,2402025
100000,0.004537399974651635,2402025
100000,0.0050623000133782625,2402025
100000,0.004575100028887391,2402025
100000,0.004752599983476102,2402025
100000,0.004823800001759082,2402025
500000,0.026416400040034205,12168393
500000,0.025982099992688745,12168393
500000,0.02635770000051707,12168393
500000,0.025777000002563,12168393
500000,0.02606709999963641,12168393
500000,0.026038800016976893,12168393
500000,0.026539199985563755,12168393
500000,0.026663600001484156,12168393
500000,0.026338799973018467,12168393
500000,0.026467900024726987,12168393
500000,0.02670289995148778,12168393
500000,0.026754399994388223,12168393
500000,0.02655619999859482,12168393
500000,0.026606899977196008,12168393
500000,0.026741800014860928,12168393
