List Size,Time Taken (s),Peak Memory Usage (bytes)
10,1.2299999070819467e-05,40598
10,1.1899999663000926e-05,40598
10,1.2599997717188671e-05,40598
10,1.1299998732283711e-05,40598
10,1.1500000255182385e-05,40598
10,1.179999890155159e-05,40598
10,1.1300002370262519e-05,40598
10,1.089999932446517e-05,40598
10,1.1000000085914508e-05,40598
10,1.1100000847363845e-05,40598
10,1.089999932446517e-05,40598
10,1.1199997970834374e-05,40598
10,1.1100000847363845e-05,40598
10,1.1599997378652915e-05,40598
10,1.1000000085914508e-05,40598
10,1.2299999070819467e-05,40598
10,1.1200001608813182e-05,40598
10,1.1300002370262519e-05,40598
10,1.1300002370262519e-05,40598
10,1.1600001016631722e-05,40598
10,1.1300002370262519e-05,40598
10,1.1200001608813182e-05,40598
10,1.1500000255182385e-05,40598
10,1.1100000847363845e-05,40598
10,1.1000000085914508e-05,40598
50,7.689999983995222e-05,40598
50,7.48999991628807e-05,40598
50,7.650000043213367e-05,40598
50,7.48999991628807e-05,40598
50,7.480000203941017e-05,40598
50,7.43000018701423e-05,40598
50,7.480000203941017e-05,40598
50,7.520000144722871e-05,40598
50,7.60000002628658e-05,40598
50,7.46000005165115e-05,40598
50,7.399999958579428e-05,40598
50,7.480000203941017e-05,40598
50,7.510000068577938e-05,40598
50,7.530000220867805e-05,40598
50,7.48999991628807e-05,40598
50,7.539999933214858e-05,40598
50,7.589999950141646e-05,40598
50,7.650000043213367e-05,40598
50,7.639999967068434e-05,40598
50,7.539999933214858e-05,40598
50,7.539999933214858e-05,40598
50,7.570000161649659e-05,40598
50,7.630000254721381e-05,40598
50,7.589999950141646e-05,40598
50,7.579999873996712e-05,40598
100,0.00024900000062189065,40598
100,0.00023520000104326755,40598
100,0.0002136999974027276,40598
100,0.00021330000163288787,40598
100,0.00021769999875687063,40598
100,0.0002153999994334299,40598
100,0.00021530000230995938,40598
100,0.00021529999867198057,40598
100,0.00021410000044852495,40598
100,0.00021610000112559646,40598
100,0.00021429999833344482,40598
100,0.00021769999875687063,40598
100,0.00021330000163288787,40598
100,0.00021879999985685572,40598
100,0.00021460000061779283,40598
