List Size,Time Taken (s),Peak Memory Usage (bytes)
10,1.2500000593718141e-05,40598
10,1.2300002708798274e-05,40598
10,1.1399999493733048e-05,40598
10,1.1199997970834374e-05,40598
10,1.1800002539530396e-05,40598
10,1.1399999493733048e-05,40598
10,1.1200001608813182e-05,40598
10,1.1600001016631722e-05,40598
10,1.1000000085914508e-05,40598
10,1.1100000847363845e-05,40598
10,1.1300002370262519e-05,40598
10,1.1400003131711856e-05,40598
10,1.1000000085914508e-05,40598
10,1.080000220099464e-05,40598
10,1.0600000678095967e-05,40598
10,1.1200001608813182e-05,40598
10,1.1199997970834374e-05,40598
10,1.1000000085914508e-05,40598
10,1.1199997970834374e-05,40598
10,1.1099997209385037e-05,40598
10,1.1000000085914508e-05,40598
10,1.1200001608813182e-05,40598
10,1.1200001608813182e-05,40598
10,1.1300002370262519e-05,40598
10,1.1399999493733048e-05,40598
50,9.439999848837033e-05,40598
50,8.570000136387534e-05,40598
50,7.410000034724362e-05,40598
50,7.370000093942508e-05,40598
50,7.399999958579428e-05,40598
50,7.439999899361283e-05,40598
50,7.48999991628807e-05,40598
50,7.420000110869296e-05,40598
50,7.389999882434495e-05,40598
50,7.46000005165115e-05,40598
50,7.519999780924991e-05,40598
50,7.370000093942508e-05,40598
50,7.399999958579428e-05,40598
50,7.479999840143137e-05,40598
50,7.529999857069924e-05,40598
50,7.529999857069924e-05,40598
50,7.539999933214858e-05,40598
50,7.439999899361283e-05,40598
50,7.419999747071415e-05,40598
50,7.340000229305588e-05,40598
50,7.370000093942508e-05,40598
50,7.479999840143137e-05,40598
50,7.490000280085951e-05,40598
50,7.499999992433004e-05,40598
50,7.429999823216349e-05,40598
100,0.0002873999983421527,40598
100,0.0002502999996067956,40598
100,0.00021219999689492397,40598
100,0.00021319999723345973,40598
100,0.00020899999799439684,40598
100,0.00020909999875584617,40598
100,0.00021220000053290278,40598
100,0.00021159999960218556,40598
100,0.00021070000002509914,40598
100,0.00021320000087143853,40598
100,0.00021560000095632859,40598
100,0.00021349999951780774,40598
100,0.00021809999816468917,40598
100,0.0002114000017172657,40598
100,0.00021500000002561137,40598
100,0.0002122999976563733,40598
100,0.00021379999816417694,40598
100,0.000216199998249067,40598
100,0.00021209999977145344,40598
100,0.00020980000044801272,40598
100,0.00021070000002509914,40598
100,0.00021550000019487925,40598
100,0.0002137000010407064,40598
100,0.00021579999884124845,40598
100,0.00021419999757199548,40598
500,0.03707709999798681,40598
500,0.03657810000004247,40598
500,0.03682250000201748,40598
500,0.03694479999830946,40598
500,0.03719640000053914,40598
500,0.03722610000113491,40598
500,0.036519600002066,40598
500,0.036753299998963485,40598
500,0.03694099999847822,40598
500,0.036748499998793704,40598
500,0.03670109999802662,40598
500,0.03662110000004759,40598
500,0.03660499999750755,40598
500,0.036208900000929134,40598
500,0.03697529999772087,40598
500,0.03705149999950663,40598
500,0.03683709999677376,40598
500,0.03678299999955925,40598
500,0.036409599997568876,40598
500,0.03639670000120532,40598
500,0.03670330000022659,40598
500,0.03657319999911124,40598
500,0.03671340000073542,40598
500,0.0367164999988745,40598
500,0.036499099998763995,40598
1000,0.17947650000132853,40598
1000,0.18127839999942807,40598
1000,0.1784704999990936,40598
1000,0.18103550000159885,40598
1000,0.18157849999988684,40598
1000,0.18179529999906663,40598
1000,0.18212100000164355,40598
1000,0.18341059999875142,40598
1000,0.18145910000021104,40598
1000,0.18701709999731975,40598
1000,0.17680599999948754,40598
1000,0.17866209999920102,40598
1000,0.17892879999999423,40598
1000,0.1842845999999554,40598
1000,0.18174989999897662,40598
1000,0.1810981000016909,40598
1000,0.18107170000075712,40598
1000,0.18237260000023525,40598
1000,0.18069180000020424,40598
1000,0.18129830000179936,40598
1000,0.17908790000001318,40598
1000,0.1825550999965344,40598
1000,0.1797608000015316,40598
1000,0.1814035999996122,40598
1000,0.17932529999961844,40598
2000,0.7321403000023565,40598
