List Size,Time Taken (s),Peak Memory Usage (bytes)
10,1.340000017080456e-05,264860
10,1.2099997547920793e-05,40814
10,1.1000000085914508e-05,40806
10,1.080000220099464e-05,40798
10,1.1100000847363845e-05,40790
10,1.0600000678095967e-05,40782
10,1.2500000593718141e-05,40774
10,1.1299998732283711e-05,40758
10,1.0700001439545304e-05,40750
10,1.0799998563015833e-05,40742
10,1.8399998225504532e-05,40734
10,1.0799998563015833e-05,40726
10,1.059999704011716e-05,40718
10,1.0699997801566496e-05,40710
10,1.1899999663000926e-05,40702
10,1.1399999493733048e-05,40686
10,1.089999932446517e-05,40678
10,1.089999932446517e-05,40670
10,1.0799998563015833e-05,40662
10,1.0600000678095967e-05,40654
10,1.0700001439545304e-05,40646
10,1.0600000678095967e-05,40638
10,1.0399999155197293e-05,40630
10,1.1399999493733048e-05,40614
10,1.049999991664663e-05,40606
50,8.959999831859022e-05,40598
50,7.040000127744861e-05,40598
50,8.410000009462237e-05,40598
50,7.14999987394549e-05,40598
50,7.049999840091914e-05,40598
50,7.190000178525224e-05,40598
50,7.109999933163635e-05,40598
50,7.14999987394549e-05,40598
50,8.090000119409524e-05,40598
50,7.130000085453503e-05,40598
50,7.089999780873768e-05,40598
50,7.289999848580919e-05,40598
50,7.110000296961516e-05,40598
50,7.000000186963007e-05,40598
50,7.349999941652641e-05,40598
50,7.080000068526715e-05,40598
50,7.080000068526715e-05,40598
50,7.100000220816582e-05,40598
50,8.999999772640876e-05,40598
50,7.129999721655622e-05,40598
50,7.170000026235357e-05,40598
50,7.120000009308569e-05,40598
50,7.190000178525224e-05,40598
50,7.249999907799065e-05,40598
50,7.130000085453503e-05,40598
100,0.00019430000247666612,40598
100,0.00019559999782359228,40598
100,0.00019439999960013665,40598
100,0.0001947999990079552,40598
100,0.00019379999866941944,40598
100,0.00019500000053085387,40598
100,0.00019350000002305023,40598
100,0.00019429999883868732,40598
100,0.00019409999731578864,40598
100,0.00019869999960064888,40598
100,0.0002023999986704439,40598
100,0.00019410000095376745,40598
100,0.00019629999951575883,40598
100,0.0001950999976543244,40598
100,0.00019380000230739824,40598
100,0.0001947999990079552,40598
100,0.00019389999943086877,40598
100,0.00019430000247666612,40598
100,0.00019489999976940453,40598
100,0.000198199999431381,40598
100,0.00019699999756994657,40598
100,0.00019770000290009193,40598
100,0.00019750000137719326,40598
100,0.0002007000002777204,40598
100,0.00020189999850117601,40598
500,0.03958410000268486,40598
500,0.035477999997965526,40598
500,0.03550289999839151,40598
500,0.0355864000011934,40598
500,0.03624610000042594,40598
500,0.03631840000161901,40598
500,0.03616459999830113,40598
500,0.035753899999690475,40598
500,0.035872199998266296,40598
500,0.0360326999980316,40598
500,0.036191300001519267,40598
500,0.03647189999901457,40598
500,0.036576700000296114,40598
500,0.03622990000076243,40598
500,0.03589049999936833,40598
500,0.035906099998101126,40598
500,0.0359796999982791,40598
500,0.036034100001415936,40598
500,0.035647000000608386,40598
500,0.03551019999940763,40598
500,0.03619460000118124,40598
500,0.036070899997866945,40598
500,0.036378400000103284,40598
500,0.03736129999742843,40598
500,0.03585249999741791,40598
1000,0.17482870000094408,40598
1000,0.1761307000015222,40598
1000,0.17424729999765987,40598
1000,0.17738079999980982,40598
1000,0.17830600000161212,40598
1000,0.17776260000027833,40598
1000,0.17620330000136164,40598
1000,0.1780220000000554,40598
1000,0.1756612999997742,40598
1000,0.1761514999998326,40598
1000,0.1745928999989701,40598
1000,0.17921410000053584,40598
1000,0.17780569999740692,40598
1000,0.17721670000173617,40598
1000,0.17720449999978882,40598
1000,0.17889990000185207,40598
1000,0.17589779999980237,40598
1000,0.17675909999888972,40598
1000,0.17706369999723393,40598
1000,0.17596380000031786,40598
1000,0.17463080000015907,40598
1000,0.1742408999998588,40598
1000,0.17521800000031362,40598
1000,0.1772926000012376,40598
1000,0.17467039999974077,40598
2000,0.740005999999994,40598
2000,0.7292205000012473,40598
2000,0.7304537999989407,40598
2000,0.7453298000000359,40598
2000,0.7446257000010519,40598
2000,0.738786900001287,40598
2000,0.7448715999998967,40598
2000,0.7284006000008958,40598
2000,0.7449750999985554,40598
2000,0.7318718000024091,40598
2000,0.7430805999974837,40598
2000,0.7147175999998581,40598
2000,0.7269911000003049,40598
2000,0.7348816999983683,40598
2000,0.7275212999993528,40598
2000,0.726754000002984,40598
2000,0.7412234000003082,40598
2000,0.7335368999993079,40598
2000,0.7372489999979734,40598
2000,0.7386446999989857,40598
2000,0.7290191000029154,40598
2000,0.7296657999977469,40598
2000,0.7364539000009245,40598
2000,0.7275681999999506,40598
2000,0.7382808000002115,40598
3000,1.6409857999969972,40598
3000,1.6780414000022574,40598
3000,1.6625060999976995,40598
3000,1.6593848999982583,40598
3000,1.6652136000011524,40598
3000,1.6753573999994842,40598
3000,1.6733882000007725,40598
3000,1.6647720000000845,40598
3000,1.6877638999976625,40598
3000,1.696771800001443,40598
3000,1.7023069000024407,40598
3000,1.6703750000015134,40598
3000,1.6546854000007443,40598
3000,1.7145883999983198,40598
3000,1.6773990000001504,40598
3000,1.66579179999826,40598
3000,1.642825000002631,40598
3000,1.6539684000017587,40598
3000,1.6853480000027048,40598
3000,1.6936031000004732,40598
3000,1.7068337999990035,40598
3000,1.6598771999997552,40598
3000,1.6708790000011504,40598
3000,1.6650226999990991,40598
3000,1.665746599999693,40598
4000,2.9843579000007594,40598
4000,2.952667100002145,40598
4000,2.9735966000007465,40598
4000,2.9833496999999625,40598
4000,2.9971436000014364,40598
4000,3.0046903999973438,40598
4000,2.9493963999993866,40598
4000,2.9899440000008326,40598
4000,3.008496299997205,40598
4000,2.94043690000035,40598
4000,2.9621189999998023,40598
4000,3.008939299998019,40598
4000,3.0420010999987426,40598
4000,2.989394499996706,40598
4000,2.989784499997768,40598
4000,2.962601499999437,40598
4000,3.078699500001676,40598
4000,3.015498700002354,40598
4000,2.922287800000049,40598
4000,2.9475289000001794,40598
4000,3.031383800000185,40598
4000,2.987163000001601,40598
4000,2.9284943000020576,40598
4000,2.986088000001473,40598
4000,2.9523275999999896,40598
5000,4.5913585999987845,40598
5000,4.6829821999999695,40598
5000,4.650747700001375,40598
5000,4.724627600000531,40598
5000,4.575823399998626,40598
5000,4.623409700001503,40598
5000,4.685848199998873,40598
5000,4.640703099998063,40598
5000,4.618568499998219,40598
5000,4.705337600000348,40598
5000,4.761706199999026,40598
5000,4.6768222999999125,40598
5000,4.682910100000299,40598
5000,4.758967800000391,40598
5000,4.691013799998473,40598
5000,4.62870870000188,40598
5000,4.735805399999663,40598
5000,4.636648400002741,40598
5000,4.683773299999302,40598
5000,4.746077299998433,40598
5000,4.6986816999997245,40598
5000,4.651967500001774,40598
5000,4.663710100001481,40598
5000,4.809805400000187,40598
5000,4.729667999999947,40598
6000,6.7908438999984355,40598
6000,6.8143030000028375,40598
6000,6.732582299999194,40598
6000,6.697211900002003,40598
6000,6.5872818999996525,40598
6000,6.726976399997511,40598
6000,6.623555000001943,40598
6000,6.702324300000328,40598
6000,6.7554242000005615,40598
6000,6.797182399997837,40598
6000,6.803263499998138,40598
6000,6.696679500000755,40598
6000,6.789540699999634,40598
6000,6.665944800002762,40598
6000,6.802610599999753,40598
6000,6.753116700001556,40598
6000,6.706261400002404,40598
6000,6.863362000000052,40598
6000,6.800196199998027,40598
6000,6.815867300003447,40598
6000,6.8172840000006545,40598
6000,6.829819700000371,40598
6000,6.79394719999982,40598
6000,6.758396200002608,40598
6000,6.747064999999566,40598
7000,9.295001300000877,40598
7000,9.164398800003255,40598
7000,9.165418700002192,40598
7000,9.30382009999812,40598
7000,9.447083700000803,40598
7000,9.420938299997943,40598
7000,9.40656189999936,40598
7000,9.34469899999749,40598
7000,9.080837200002861,40598
7000,9.235898699997051,40598
7000,9.292965100001311,40598
7000,9.208015299998806,40598
7000,9.280498799998895,40598
7000,9.177001299998665,40598
7000,9.45697829999699,40598
7000,9.114718900000298,40598
7000,9.262339100001554,40598
7000,9.097061899999972,40598
7000,8.941568500002177,40598
7000,9.04069779999918,40598
7000,9.063723299997946,40598
7000,9.24914980000176,40598
7000,9.030507399998896,40598
7000,9.22907320000013,40598
7000,9.14214510000238,40598
8000,11.930076600001485,40598
8000,12.122860300001776,40598
8000,11.952233799998794,40598
8000,12.058115600000747,40598
8000,11.927955200000724,40598
8000,11.989533299998584,40598
8000,11.770354700001917,40598
8000,12.054523899998458,40598
8000,11.861629600000015,40598
8000,11.82098870000118,40598
8000,11.828236800000013,40598
8000,12.005453099998704,40598
8000,12.133336599999893,40598
8000,11.966340200000559,40598
8000,12.065102799999295,40598
8000,11.840188000001945,40598
8000,12.110595300000568,40598
8000,12.230017900001258,40598
8000,12.039139699998486,40598
8000,11.879702000001998,40598
8000,11.876350800001092,40598
8000,11.84312409999984,40598
8000,12.10064870000133,40598
8000,12.16943159999937,40598
8000,12.125576200000069,40598
9000,15.141039799997088,40598
9000,15.180421400000341,40598
9000,14.889111899999989,40598
9000,15.031270299998141,40598
9000,14.99312110000028,40598
9000,14.91069349999816,40598
9000,14.910595399996964,40598
9000,15.042448099997273,40598
9000,15.349895499999548,40598
9000,14.973469399999885,40598
9000,15.236785900000541,40598
9000,15.100828300001012,40598
9000,14.959402799999225,40598
9000,14.984173299999384,40598
9000,14.992562600000383,40598
9000,14.929749599999923,40598
9000,15.283781199999794,40598
9000,15.184719400000176,40598
9000,15.166590500000893,40598
9000,15.428132099998038,40598
9000,15.042675400000007,40598
9000,15.45153030000074,40598
9000,15.289222499999596,40598
9000,15.347752199999377,40598
9000,15.181259900000441,40598
10000,18.654712100000324,40598
10000,18.53926180000053,40598
10000,18.606581500000175,40598
10000,18.575626300000295,40598
10000,18.48264190000191,40598
10000,18.74825100000089,40598
10000,18.82284570000047,40598
10000,18.80745029999889,40598
10000,18.967140000000654,40598
10000,18.94936189999862,40598
10000,18.64897320000091,40598
10000,18.646514000000025,40598
10000,18.551493799997843,40598
10000,18.399490600000718,40598
10000,18.691578500001924,40598
10000,18.768098600001395,40598
10000,18.630426100000477,40598
10000,18.712787399999797,40598
10000,18.85609299999851,40598
10000,18.586533300000156,40598
10000,18.623588099999324,40598
10000,18.525106400000368,40598
10000,18.89874779999809,40598
10000,18.454816299999948,40598
10000,18.517289600000367,40598
